customer_id,due_date,paid_date,amount_due,amount_paid,region,risk_score,product_type
C00001,2025-02-20,2025-02-24,836,829,East,0.38,Credit Line
C00002,2024-11-09,2024-11-10,69,50,North,0.6,Loan C
C00003,2024-10-23,2024-10-26,588,588,South,0.47,Loan A
C00004,2025-03-11,2025-03-14,456,432,North,0.92,Loan C
C00005,2024-12-11,2024-12-12,600,581,East,0.41,Loan A
C00006,2024-12-05,2024-12-07,224,183,East,0.5,Credit Line
C00007,2024-12-01,2024-12-02,159,127,West,0.34,Loan B
C00008,2024-11-15,2024-11-16,766,744,North,0.89,Credit Line
C00009,2025-03-11,2025-03-13,861,840,South,0.45,Loan A
C00010,2024-11-07,2024-11-09,864,855,North,0.39,Credit Line
C00011,2025-02-27,2025-02-28,384,351,North,0.94,Loan A
C00012,2025-03-11,2025-03-11,385,346,East,0.71,Loan B
C00013,2025-04-10,2025-04-14,472,445,North,0.54,Credit Line
C00014,2025-02-01,2025-02-03,367,321,North,0.95,Credit Line
C00015,2024-11-04,2024-11-05,303,294,East,0.12,Loan B
C00016,2025-02-10,2025-02-13,219,186,East,0.15,Loan B
C00017,2025-01-08,2025-01-10,865,827,North,0.51,Credit Line
C00018,2024-10-25,2024-10-31,669,648,East,0.96,Credit Line
C00019,2024-10-24,2024-10-25,651,630,West,0.58,Loan B
C00020,2024-11-06,2024-11-07,235,205,North,0.78,Loan C
C00021,2024-11-30,2024-12-02,925,905,West,0.66,Loan A
C00022,2024-12-03,2024-12-05,680,672,East,0.13,Loan A
C00023,2025-01-25,2025-01-26,943,930,South,0.39,Loan A
C00024,2025-02-12,2025-02-15,75,47,North,0.76,Credit Line
C00025,2024-10-24,2024-10-28,184,182,West,0.6,Loan C
C00026,2025-02-04,2025-02-05,242,195,South,0.8,Loan A
C00027,2024-11-26,2024-11-29,378,347,North,0.28,Loan C
C00028,2025-03-07,2025-03-08,761,735,North,0.27,Loan C
C00029,2025-02-22,2025-02-26,941,932,West,0.55,Loan C
C00030,2025-03-04,2025-03-08,264,264,East,0.91,Loan C
C00031,2025-02-01,2025-02-03,360,322,West,0.17,Loan A
C00032,2025-01-08,2025-01-08,674,662,East,0.96,Loan B
C00033,2024-11-30,2024-11-30,880,850,East,0.35,Loan B
